,댓글
324,"ㅋㅋㅋ 어이가 없네 내가 소액결제를 해도 10만원 이상 못하는데... 1억을 결제?? 통신사, 은행?? 도대체 어케하면 1억이 결제가 가능할까?? 글고 부모는 1억이 결제가 될때까지 몰랐다는건 문제가 있는거지? 1억이 쉽게 번돈도 아닐테고, 이해가 안가는 부분이 너무 많음
엄마휴대전화로 결제를 했다? 그럼 휴대전화요금이 많이 나왔을텐데 몰랐다? 그럼 엄마가 둔한거 아닐까? 애한테 신경도 안쓰는 부모였나? 생각하면 할수록 넘 답답해보인다."
325,bj한테 돈주는게 신기할뿐. -.-
326,@2cherry_2 니가 말한거다
327,@jin0_daebak @do__o518 이거봐
328,@mneanseo
329,@da_hui_1127
330,@xxjinsongxx
331,이건 애가 어려서 문제가 아님 그냥 애 자체가 무식한거임
332,@jiyun.0628 헐
333,ㄹㅇ 답이 없네
334,하쿠나측에서는 환불 할 수 있게 최선을다했는데 구글측에서 결제건 환불을안해줬던거라건데 구글얘기는 쏙빠지고 하쿠나만 몰매맞네 ㅋㅋ
335,@ju_na_yam
336,@yonghyun.choii 내가말한거다 ㅡㅡ
337,@hhyowon 세상에 진짜 말 안나옴 .. wow
338,본인들이 애 교육 잘못시킨탓을 누굴탓함
339,근데 1억 5천을 1주일안에 결재했는데 은행에서 아무말이 없다고? 전화나 문자가 분명갔을텐데
340,@08.2.0 완즈이 한혜조 초등학생
341,@yukie__24 와 억장
342,미성년자가 했다고 해도 엄마 폰으로 접속하고 결제해서 시스템상 성인으로 인식이 되었을텐데 문제가 되야 하나..? 도덕적 차원인거지 🤔 결제를 이미 한 돈을 bj가 굳이 돌려줄 필요는 없다고 생각하는데
343,? 방송하는사람이 뭘 잘못한거임?ㅋㅋ 공개를 왜해 그냥 애새기가 철없이 한 행동이지
344,@h_kye0ng
345,@anjunghyeon
346,너무 속상해
347,@hhyesin03.06 허이고.....이게 나라야.....?
348,@choi_luck
349,@88____ybin 대박이다🤦🏻‍♀️
350,@junha_010821 중국인줄알았는데 대한민국
351,@5_5st 절레절레...
352,@100yeah._.e ㄹㅈㄷ
353,@xx_damiii 꿀밤이 시급하네..
354,@weerim_u 부모억장 와르르맨션
355,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
356,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
357,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
358,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
359,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
360,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
361,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
362,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
363,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
364,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
365,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
366,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
367,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
368,@euxn0402 yeah 오늘도 잼민이가 한건 했구나 정말 미래가 밝다
